x,y
40,99.859
50,99.859
61.2821,91.3974
69.2308,79.0897
76.4103,59.859
75.1282,43.3205
70.5128,26.0128
60.5128,13.3205
50,8.7051
37.4359,6.3974
28.7179,14.859
22.0513,26.3974
16.4103,47.9359
16.6667,64.859
19.7436,80.2436
28.4615,92.1667
31.7949,69.859
54.359,70.6282
29.2308,49.859
31.5385,41.7821
33.8462,35.2436
40.2564,28.7051
49.2308,28.7051
57.4359,35.2436
59.4872,45.6282
53.3333,31.7821
44.8718,28.3205
60.2564,52.5513
17.9487,36.3974
44.1026,6.3974
72.8205,71.0128